feature,xgboost_importance,lightgbm_importance,random_forest_importance,ensemble_importance
latitude,0.08612748,0.20751612903225805,0.1693361059898777,0.15132466575273515
longitude,0.0875758,0.19251612903225807,0.15992959038332863,0.14402268997631976
day_of_year,0.07923469,0.17241935483870968,0.10746243476529481,0.12215410467818516
month,0.13176635,0.016483870967741936,0.04804206274070897,0.06890850056612846
daynight,0.16291702,0.0013870967741935485,0.008598955798085412,0.06744143853409323
day,0.046493795,0.08616129032258064,0.05285425490084712,0.06363288613440825
track,0.053585835,0.07293548387096774,0.0564878564255556,0.06190609987156413
hour,0.08824141,0.03248387096774193,0.028080810261210707,0.05390627722372078
scan,0.03351501,0.06964516129032258,0.051061277404679126,0.05147632382243135
frp,0.06296423,0.02870967741935484,0.06483958672477808,0.04963748136808886
bright_t31,0.031578545,0.05116129032258065,0.06474837575689922,0.04604560946385804
day_of_week,0.03995042,0.04490322580645161,0.03050059337162701,0.04004157631131626
frp_log,0.052171417,0.005161290322580645,0.06417516151040008,0.03576811618097018
brightness,0.024364533,0.009322580645161291,0.0486202456896303,0.02319889437086078
brightness_difference,0.0195135,0.009193548387096774,0.045262688277077176,0.02053535753826785
